genome	mge_genome_position	IS_Tn	Integron	Phage	Phage_like	Conjugative_element	Mobility_island	mge_length	phage_genes	conjugation_genes	recombinase
1844104.SAMEA3442629	1844104.SAMEA3442629.CVTV01000020:132-256372	1	0	0	0	0	1	256240	0	0	Int_SXT,DDE_Tnp_ISL3
1313.SAMEA1025416	1313.SAMEA1025416.CGXX01000023:91-11348	1	0	0	1	0	0	11257	0	0	DDE_3,Phage_integrase
573.SAMEA3515300	573.SAMEA3515300.FBRV01000044:81202-149873	1	0	1	0	0	0	68671	5	0	Int_SXT,Transposase_31
1639.SAMN05410683	1639.SAMN05410683.MDMX01000031:1-81644	6	0	0	0	1	0	81643	1	4	DDE_Tnp_IS240,DDE_Tnp_IS240,rve,ser_ce,Phage_integrase,DDE_Tnp_IS240,rve
1116026.SAMN00829276	1116026.SAMN00829276.AQDJ01000068:267359-285649	1	0	0	0	0	1	18290	0	0	Int_SXT,rve
676.SAMN03996321	676.SAMN03996321.CP014035:1507821-1953313	3	0	0	0	0	1	445492	1	0	rve_3,Int_SXT,rve,DDE_3
676.SAMN03996321	676.SAMN03996321.CP014035:1963518-2110995	2	0	0	0	0	1	147477	0	0	Int_SXT,rve_3,rve_3
992102.SAMN00778910	992102.SAMN00778910.AKQD01000002:1045948-1060502	4	0	0	1	0	0	14554	0	0	Int_BPP-1,OrfB_IS605,huh_y1,huh_y1,OrfB_IS605
287.SAMN03105557	287.SAMN03105557.JTUE01000036:88168-97938	1	0	0	0	1	0	9770	0	1	IntKX,rve_3
1313.SAMEA1024762	1313.SAMEA1024762.CRDM01000027:26-27077	1	0	0	0	1	0	27051	0	3	Int_Tn916,DDE_Tnp_ISL3
95486.SAMN05001966	95486.SAMN05001966.MUVG01000044:29-42418	1	0	0	0	1	0	42389	0	1	DDE_Tnp_1_2,Mob_Pre
573.SAMN03280416	573.SAMN03280416.KQ089648:122-52993	5	0	0	0	1	0	52871	0	8	rve,rve,rve,rve,DDE_Tnp_1
143221.SAMN02261206	143221.SAMN02261206.LRNK01000025:47219-53180	2	0	0	1	0	0	5961	0	0	Transposase_mut,Transposase_mut,Phage_integrase
573.SAMEA2273812	573.SAMEA2273812.FLGG01000006:156244-232913	1	0	1	0	0	0	76669	5	0	Phage_integrase,ser_ce
85569.SAMEA1484070	85569.SAMEA1484070.CTLF01000013:83863-92386	2	0	0	1	0	0	8523	0	0	Transposase_mut,Transposase_mut,Phage_integrase
28901.SAMN03359742	28901.SAMN03359742.MYGX01000004:46472-94263	3	1	0	0	1	0	47791	0	2	Phage_integrase,DDE_Tnp_IS240,huh_y2,Integron,ser_ce,Int_CTnDOT
1409493.SAMN02381554	1409493.SAMN02381554.KI975584:1-33888	1	0	0	0	0	1	33887	0	0	ser_lsr,rve
57743.SAMEA1904387	57743.SAMEA1904387.CZLQ01000006:179986-198823	1	0	0	1	0	0	18837	1	0	Transposase_mut,Phage_integrase,Phage_integrase
1313.SAMEA1025537	1313.SAMEA1025537.CLAY01000038:140-18864	1	0	0	0	1	0	18724	0	1	ser_lsr,ser_lsr,ser_lsr,DDE_Tnp_1,Relaxase
406557.SAMN02393744	406557.SAMN02393744.ABAA01000006:76665-79300	1	0	0	1	0	0	2635	0	0	Phage_integrase,DDE_3
1388327.SAMN02325451	1388327.SAMN02325451.KK013747:75-33968	1	0	0	0	0	1	33893	0	0	ser_lsr,rve
686.SAMN04382890	686.SAMN04382890.LQHM01000001:57062-134107	1	1	0	0	1	0	77045	0	15	Integron,rve
1307.SAMEA3233767	1307.SAMEA3233767.CDST01000058:8722-14223	1	0	0	1	0	0	5501	0	0	Phage_integrase,rve
1446686.SAMN02353112	1446686.SAMN02353112.JHIF01000042:1-40007	1	0	0	1	0	0	40006	0	0	rve,Phage_integrase
573.SAMN03280281	573.SAMN03280281.KQ088460:1-54931	4	0	0	0	1	0	54930	1	2	DDE_Tnp_1_5,Transposase_20,ser_ce,DDE_Tnp_Tn3,DDE_Tnp_IS240
1422497.SAMN02404080	1422497.SAMN02404080.JIRG01000006:67711-76484	1	0	0	1	0	0	8773	0	0	Phage_integrase,TnpA
1313.SAMEA2467763	1313.SAMEA2467763.FHOK01000004:56235-74480	1	0	0	0	0	1	18245	0	0	Int_Tn916,Transposase_20
1352.SAMEA3893623	1352.SAMEA3893623.FXGH01000057:488-14215	2	0	0	0	0	1	13727	0	0	Int_Tn916,DDE_Tnp_1,DDE_Tnp_1
1280.SAMEA1464184	1280.SAMEA1464184.FGOS01000009:228-20498	3	0	0	0	0	1	20270	0	0	rve,rve,ser_ce,ser_ce,Mob_Pre,Mob_Pre
573.SAMN04868727	573.SAMN04868727.LXMW01000003:190840-261397	1	0	1	0	0	0	70557	5	0	Transposase_31,Int_SXT
1116179.SAMN00829511	1116179.SAMN00829511.AQBA01000087:44-62705	1	0	0	1	0	0	62661	0	0	Phage_integrase,Transposase_31
573.SAMEA3140027	573.SAMEA3140027.CDNA01000037:143-43084	7	0	0	1	0	0	42941	0	0	DDE_Tnp_ISL3,DDE_Tnp_IS1,rve,DDE_Tnp_IS1,DDE_Tnp_1_5,Phage_integrase,OrfB_IS605,rve
1874619.SAMN05408344	1874619.SAMN05408344.MBQA01000168:1-94817	1	0	0	1	0	0	94816	0	0	DDE_Tnp_1,Phage_integrase
1280.SAMEA1464573	1280.SAMEA1464573.FGOO01000029:228-14705	1	0	0	0	1	0	14477	0	1	Mob_Pre,Mob_Pre,Rep_1,ser_ce
1422409.SAMN02403992	1422409.SAMN02403992.KK227289:76-4778	1	0	0	1	0	0	4702	0	0	Phage_integrase,TnpA
95486.SAMN05002000	95486.SAMN05002000.MUWK01000096:32-144350	5	0	0	0	1	0	144318	0	15	rve,Transposase_20,TrwC,TnpR,DDE_Tnp_Tn3,rve,Int_SXT
85569.SAMEA773549	85569.SAMEA773549.CTBI01000016:41-93709	5	0	0	0	1	0	93668	0	15	rve,ser_ce,Transposase_31,TrwC,Phage_integrase,huh_y1,DDE_3
178901.SAMN03799276	178901.SAMN03799276.LHZF01000155:789-52680	2	0	0	1	0	0	51891	0	0	Phage_integrase,DDE_Tnp_IS66,ser_ce,Phage_integrase
81407.SAMN06273038	81407.SAMN06273038.MUFQ01000016:141-79488	1	0	0	1	0	0	79347	0	0	Phage_integrase,ser_ce,Phage_integrase
446.SAMEA2078035	446.SAMEA2078035.FJML01000009:50-70372	2	0	0	0	1	0	70322	0	14	DDE_Tnp_ISL3,DDE_Tnp_ISL3,Phage_integrase
526991.SAMN00727673	526991.SAMN00727673.CM000738:5102704-5594647	3	0	1	0	0	0	491943	9	2	rve,Mob_Pre,DDE_Tnp_Tn3,rve,ser_ce,ser_ce,DDE_Tnp_Tn3,Phage_integrase,rve,PDDEXK_2,DDE_Tnp_1,Int_Tn916,DDE_Tnp_Tn3,Phage_integrase,ser_ce,Phage_integrase,ser_ce
526991.SAMN00727673	526991.SAMN00727673.CM000738:392852-484294	1	0	0	1	0	0	91442	0	0	Phage_integrase,ser_ce
526991.SAMN00727673	526991.SAMN00727673.CM000738:4961089-5086480	4	0	0	0	1	0	125391	0	1	Rep_1,OrfB_IS605,OrfB_IS605,rve,ser_ce
1686395.SAMN03280187	1686395.SAMN03280187.KQ089958:490-98126	3	0	0	0	0	1	97636	0	0	DDE_Tnp_IS1,DDE_Tnp_IS1,DDE_Tnp_IS1,Int_P2,Int_P2
106654.SAMD00020345	106654.SAMD00020345.BBTO01000035:642-31050	1	0	0	0	0	1	30408	0	0	Int_SXT,DDE_Tnp_1_5
1310810.SAMN02567758	1310810.SAMN02567758.JFDK01000005:118030-134823	1	0	0	0	0	1	16793	1	0	Int_SXT,rve
573.SAMEA2602984	573.SAMEA2602984.CCIJ01000111:683-12220	2	0	0	0	1	0	11537	0	2	DDE_Tnp_Tn3,ser_ce,DDE_Tnp_IS240
1343740.SAMN02604192	1343740.SAMN02604192.CP006567:9442141-9886241	14	0	0	1	0	0	444100	0	0	DDE_Tnp_ISL3,rve,rve_3,DDE_Tnp_1,DDE_Tnp_ISL3,Phage_integrase,rve_3,DDE_Tnp_1,rve_3,DDE_Tnp_1_6,rve_3,rve_3,Phage_integrase,rve_3,DDE_Tnp_1_4,Transposase_mut
1343740.SAMN02604192	1343740.SAMN02604192.CP006567:11860766-12700247	3	0	0	0	0	1	839481	2	0	DDE_Tnp_1_6,DDE_Tnp_Tn3,DDE_3,ser_ce,DDE_Tnp_Tn3
1343740.SAMN02604192	1343740.SAMN02604192.CP006567:507-896028	12	0	0	1	0	0	895521	1	0	rve,Phage_integrase,DDE_Tnp_1,DDE_Tnp_4,DEDD_Tnp_IS110,DDE_3,DEDD_Tnp_IS110,DDE_5,DDE_3,DDE_Tnp_4,OrfB_IS605,DDE_Tnp_1_2,DEDD_Tnp_IS110
1343740.SAMN02604192	1343740.SAMN02604192.CP006567:5040059-5153571	1	0	0	1	0	0	113512	0	0	Phage_integrase,rve
1343740.SAMN02604192	1343740.SAMN02604192.CP006567:5979888-6090776	1	0	0	0	1	0	110888	0	1	DDE_5,Int_Tn916
1280.SAMN05860635	1280.SAMN05860635.MKZH01000002:43-26054	2	0	0	0	0	1	26011	0	0	ser_lsr,DDE_Tnp_1,DDE_Tnp_IS240
90370.SAMEA2160829	90370.SAMEA2160829.CUYJ01000004:152064-190873	1	0	0	0	0	1	38809	0	0	rve_3,Int_SXT
1413485.SAMN02391312	1413485.SAMN02391312.KK225493:34531-60603	1	0	0	0	0	1	26072	0	0	ser_lsr,DDE_Tnp_IS240,ser_lsr
158836.SAMN04431014	158836.SAMN04431014.LRIY01000034:191-211182	1	0	1	0	0	0	210991	21	0	Phage_integrase,Phage_GPA,ser_ce
1304921.SAMN02141992	1304921.SAMN02141992.APWG01000192:102711-149419	1	0	0	1	0	0	46708	0	0	Phage_integrase,Phage_integrase,DEDD_Tnp_IS110
1388332.SAMN02325456	1388332.SAMN02325456.JBVD01000014:48-33079	1	0	0	0	0	1	33031	0	0	ser_lsr,rve
713612.SAMN03217555	713612.SAMN03217555.JTIZ01000034:643-11677	1	0	0	1	0	0	11034	0	0	Myc,Transposase_mut
550.SAMEA2273447	550.SAMEA2273447.FKCR01000003:657-462552	1	0	0	1	0	0	461895	0	0	rve,Phage_integrase
1444243.SAMN02680199	1444243.SAMN02680199.JHDJ01000127:16911-42331	1	0	0	1	0	0	25420	0	0	Phage_integrase,rve
90370.SAMEA1966512	90370.SAMEA1966512.CJDG01000008:8731-42751	1	0	1	0	0	0	34020	14	0	rve,ser_ce
574.SAMEA3141919	574.SAMEA3141919.CDJH01000069:135-132719	1	0	0	0	1	0	132584	0	9	DDE_Tnp_IS1,Int_SXT,Int_SXT
562.SAMN02801836	562.SAMN02801836.JSRV01000092:7-5370	1	0	0	1	0	0	5363	0	0	DDE_Tnp_1,Phage_integrase
1051353.SAMN01112700	1051353.SAMN01112700.AOEH01000052:691-4701	2	0	0	1	0	0	4010	0	0	Phage_integrase,Transposase_mut,Transposase_mut
1158598.SAMN02596954	1158598.SAMN02596954.ASWC01000002:373-33568	4	0	0	0	1	0	33195	0	2	rve,DDE_Tnp_1_3,DDE_Tnp_1,DDE_Tnp_Tn3,ser_ce
523841.SAMN02471643	523841.SAMN02471643.AOLO01000014:1-131973	6	0	0	1	0	0	131972	0	0	DDE_Tnp_1,rve_3,DDE_Tnp_IS240,DDE_Tnp_IS240,DDE_Tnp_IS240,Phage_integrase,DDE_Tnp_IS240
1620419.SAMN02367970	1620419.SAMN02367970.MXGG01000019:316-66041	4	0	0	0	1	0	65725	0	2	Transposase_mut,rve,Transposase_mut,huh_y1,Phage_integrase
766143.SAMN00752563	766143.SAMN00752563.AKNG01000044:6136-42063	3	0	0	1	0	0	35927	0	0	DDE_Tnp_IS1,Int_BPP-1,rve,rve
439334.SAMN04226727	439334.SAMN04226727.LNBL01000210:30-2152	1	0	0	1	0	0	2122	0	0	Phage_integrase,Transposase_20
1313.SAMEA2335983	1313.SAMEA2335983.FHKE01000022:351-11116	1	0	0	0	0	1	10765	0	0	DDE_3,Int_Tn916
469591.SAMN02463760	469591.SAMN02463760.GG774972:196719-229309	1	0	0	1	0	0	32590	0	0	Phage_integrase,Int_CTnDOT,DDE_Tnp_1_6,Phage_integrase
287.SAMEA2357685	287.SAMEA2357685.FRHK01000103:542-77521	1	0	0	0	1	0	76979	0	14	rve,IntKX
143221.SAMN02261203	143221.SAMN02261203.LWRE01000031:24412-30372	2	0	0	1	0	0	5960	0	0	Phage_integrase,Transposase_mut,Transposase_mut
679191.SAMN00003364	679191.SAMN00003364.ADFQ01000075:76767-87064	2	0	0	0	1	0	10297	0	2	DDE_Tnp_ISAZ013,DDE_Tnp_1,Relaxase
1313.SAMEA1022960	1313.SAMEA1022960.CIDO01000008:1541-19740	1	0	0	0	1	0	18199	0	1	Relaxase,ser_lsr,ser_lsr,DDE_Tnp_1_4
1281055.SAMN01885767	1281055.SAMN01885767.KE699924:1-116432	9	0	0	0	1	0	116431	1	15	rve,DDE_Tnp_ISL3,Phage_integrase,Phage_integrase,DDE_Tnp_IS66,rve,DDE_Tnp_IS66,rve,huh_y2,rve,DDE_Tnp_IS240,TrwC
1217633.SAMN01828149	1217633.SAMN01828149.KB849876:120774-145307	6	0	0	0	1	0	24533	0	1	DDE_Tnp_1,DDE_Tnp_1,MobA_MobL,DDE_Tnp_IS240,huh_y2,DDE_Tnp_1,DDE_Tnp_1
1185650.SAMEA2259609	1185650.SAMEA2259609.FSHS01000010:131696-179184	2	0	0	1	0	0	47488	0	0	Phage_integrase,Tn7_Tnp_TnsA_N,TnpA,Phage_integrase
90370.SAMEA2148584	90370.SAMEA2148584.CJIB01000003:59276-98079	1	0	0	0	0	1	38803	0	0	Int_SXT,rve_3
630.SAMN04875562	630.SAMN04875562.NBTE01000003:154-19511	1	0	1	0	0	0	19357	3	0	Int_P2,DDE_Tnp_1
2074.SAMN05718038	2074.SAMN05718038.MIFY01000029:79863-110473	2	0	0	0	0	1	30610	0	0	Int_Tn916,DDE_5,Transposase_mut
1409507.SAMN02381568	1409507.SAMN02381568.KK047896:513-50713	4	0	0	0	1	0	50200	0	1	ser_ce,ser_ce,Rep_1,Rep_1,Rep_1,DDE_Tnp_IS240,Rep_1,DDE_Tnp_IS240,DDE_Tnp_IS240,Rep_1,Rep_1,Mob_Pre
54736.SAMN06276356	54736.SAMN06276356.NAPQ01000002:253121-305207	1	0	1	0	0	0	52086	3	0	Phage_integrase,Phage_integrase,ser_ce
562.SAMEA2593979	562.SAMEA2593979.CCPP01000196:24642-73271	1	0	1	0	0	0	48629	16	0	ser_ce,rve
36809.SAMEA1464837	36809.SAMEA1464837.CSYP01000010:175-85309	1	0	0	1	0	0	85134	0	0	Phage_integrase,Transposase_mut
1402674.SAMN02360831	1402674.SAMN02360831.KK068012:237-7933	1	0	0	1	0	0	7696	0	0	Phage_integrase,TnpA
562.SAMN03177633	562.SAMN03177633.JUDD01000003:546-96399	3	0	0	0	1	0	95853	0	17	Int_P2,DDE_Tnp_1_4,DDE_Tnp_IS66,Relaxase,Transposase_31,Phage_integrase
1311.SAMN03198207	1311.SAMN03198207.JUKX01000035:109-41002	1	0	0	0	1	0	40893	0	1	Relaxase,ser_lsr,ser_lsr,ser_lsr,DDE_Tnp_IS240
562.SAMN04420252	562.SAMN04420252.LRKK01000126:83-75154	1	0	0	1	0	0	75071	1	0	ser_ce,Phage_integrase
1202448.SAMN02470680	1202448.SAMN02470680.AKXM01000009:1-80907	2	0	0	0	1	0	80906	0	15	ser_ce,Transposase_31,TrwC
562.SAMN04910092	562.SAMN04910092.LXFA01000042:132-19669	1	0	0	1	0	0	19537	0	0	rve,Phage_integrase
1238.SAMN04362174	1238.SAMN04362174.CP013773:2957069-2965957	1	0	0	1	0	0	8888	0	0	rve_3,Phage_integrase
446.SAMN05179547	446.SAMN05179547.CP015932:1079571-1209863	4	0	0	0	1	0	130292	0	13	DDE_Tnp_ISL3,Int_SXT,DDE_Tnp_ISL3,DDE_Tnp_ISL3,Phage_integrase,DDE_Tnp_1
446.SAMN05179547	446.SAMN05179547.CP015932:2486152-2505361	1	0	0	0	0	1	19209	0	0	DDE_Tnp_ISL3,Int_P2
446.SAMN05179547	446.SAMN05179547.CP015932:2272108-2417889	6	0	0	0	1	0	145781	0	24	Int_P2,Relaxase,Int_P2,DDE_Tnp_1,TrwC,DDE_5,DDE_Tnp_1,DDE_Tnp_ISL3,rve,DDE_Tnp_1
446.SAMN05179547	446.SAMN05179547.CP015932:2950956-2965382	2	0	0	1	0	0	14426	0	0	Phage_integrase,rve_3,ser_ce
1280.SAMEA1324673	1280.SAMEA1324673.CSBX01000009:635-60190	2	0	0	0	0	1	59555	0	0	DDE_Tnp_1,ser_lsr,Transposase_20
1181761.SAMN00974070	1181761.SAMN00974070.KB733208:1221438-1257517	1	0	1	0	0	0	36079	18	0	ser_ce,Phage_GPA,Phage_integrase
1181761.SAMN00974070	1181761.SAMN00974070.KB733208:1592729-1665524	3	0	0	0	0	1	72795	1	0	Int_SXT,Transposase_20,DDE_Tnp_1,DDE_Tnp_1
1181761.SAMN00974070	1181761.SAMN00974070.KB733208:467671-530294	1	0	0	0	0	1	62623	0	0	Int_SXT,rve_3
1735687.SAMN04151586	1735687.SAMN04151586.LMKP01000003:1-45773	1	0	0	1	0	0	45772	0	0	rve,Phage_integrase
562.SAMN02802194	562.SAMN02802194.JSFR01000053:125944-181224	2	0	0	0	1	0	55280	0	1	IntKX,DDE_3,DDE_Tnp_IS1
1151234.SAMN01885449	1151234.SAMN01885449.AVRS01000074:1-7014	1	0	0	1	0	0	7013	0	0	Phage_integrase,rve_3
1280.SAMEA1469656	1280.SAMEA1469656.FGKQ01000022:14053-21476	1	0	0	1	0	0	7423	0	0	Phage_integrase,TnpA
446.SAMEA2080799	446.SAMEA2080799.FJMI01000029:199-15293	2	0	0	0	1	0	15094	0	1	MobA_MobL,Phage_integrase,DDE_Tnp_ISL3,rve
573.SAMEA3753388	573.SAMEA3753388.FWHL01000004:315309-334644	1	0	0	0	0	1	19335	0	0	rve,Int_SXT
573.SAMEA3753388	573.SAMEA3753388.FWHL01000004:494078-550090	1	0	0	0	0	1	56012	0	0	Int_SXT,Transposase_mut
562.SAMN05928880	562.SAMN05928880.MOFZ01000003:120-32818	1	0	1	0	0	0	32698	12	0	DDE_Tnp_1,Phage_integrase
28901.SAMN03358469	28901.SAMN03358469.MYNM01000017:41055-87768	1	0	1	0	0	0	46713	19	0	ser_ce,Phage_GPA,Phage_integrase
913068.SAMN01902449	913068.SAMN01902449.NBPH01000001:664759-672408	1	0	0	1	0	0	7649	0	0	Transposase_mut,Phage_integrase
465515.SAMN00000281	465515.SAMN00000281.CP001628:684562-717542	5	0	0	0	1	0	32980	0	1	Transposase_mut,DDE_Tnp_1_2,DDE_Tnp_1_2,rve,TnpA,Phage_integrase
465515.SAMN00000281	465515.SAMN00000281.CP001628:2204695-2240838	4	0	0	1	0	0	36143	0	0	DDE_Tnp_ISL3,Transposase_mut,Transposase_mut,Phage_integrase,TnpA
465515.SAMN00000281	465515.SAMN00000281.CP001628:8050-71805	5	0	0	0	1	0	63755	0	2	Transposase_mut,TrwC,Transposase_mut,Transposase_mut,DDE_Tnp_ISL3,DDE_Tnp_ISL3
1391487.SAMN02333893	1391487.SAMN02333893.KI913043:159669-262142	8	0	0	1	0	0	102473	0	0	Int_Tn916,DDE_Tnp_ISL3,Phage_integrase,DDE_Tnp_IS240,rve,rve,Transposase_mut,DDE_3,rve,rve
1281050.SAMN01885762	1281050.SAMN01885762.KE699850:1-154825	11	0	0	1	0	0	154824	0	0	rve,Transposase_20,DDE_Tnp_IS66,rve,rve,DEDD_Tnp_IS110,DDE_Tnp_IS1,DDE_Tnp_IS1,rve,Int_SXT,DDE_3,Phage_integrase,Phage_integrase,Transposase_31
754084.SAMN00015360	754084.SAMN00015360.AFDQ01000011:168376-206900	1	0	1	0	0	0	38524	14	0	Phage_integrase,ser_ce
294.SAMN04992557	294.SAMN04992557.CP015637:5580330-5739575	1	0	0	0	0	1	159245	0	0	Int_SXT,Transposase_20
294.SAMN04992557	294.SAMN04992557.CP015637:2596597-3287426	4	0	0	1	0	0	690829	0	0	Transposase_20,DDE_Tnp_IS66,DDE_Tnp_IS66,rve_3,Phage_integrase,Phage_integrase,Phage_integrase,Cyan
1442607.SAMN02567769	1442607.SAMN02567769.JAAM01000110:149-4042	1	0	0	1	0	0	3893	0	0	Phage_integrase,RitB,Phage_integrase
573.SAMEA3531887	573.SAMEA3531887.FLXM01000011:310-135413	4	0	0	0	1	0	135103	0	15	ser_ce,DDE_Tnp_Tn3,DDE_Tnp_Tn3,DEDD_Tnp_IS110,DDE_Tnp_IS66,Phage_integrase,TrwC,rve
1409693.SAMN02381754	1409693.SAMN02381754.JBGQ01000003:1-40234	3	0	0	0	0	1	40233	0	0	DDE_Tnp_1,ser_lsr,rve,rve
446.SAMEA2250622	446.SAMEA2250622.FJFJ01000014:46773-91164	1	0	0	0	1	0	44391	0	9	cas1,MobA_MobL,Int_BPP-1
90370.SAMEA2149211	90370.SAMEA2149211.CJFP01000011:74885-149803	1	0	0	0	0	1	74918	6	20	Transposase_31,Int_P2
1281091.SAMN01885803	1281091.SAMN01885803.KE700388:1903323-1947141	2	0	1	0	0	0	43818	18	0	ser_ce,Phage_GPA,DDE_Tnp_1
1281091.SAMN01885803	1281091.SAMN01885803.KE700388:1984696-1992351	1	0	0	1	0	0	7655	0	0	Phage_integrase,DDE_Tnp_1
28901.SAMN03358451	28901.SAMN03358451.MYOD01000014:54459-67408	1	0	0	0	0	1	12949	0	0	ser_ce,Int_SXT
90370.SAMEA2059211	90370.SAMEA2059211.CJWW01000005:139961-152442	1	0	0	1	0	0	12481	0	0	Phage_integrase,Transposase_mut
562.SAMEA2593889	562.SAMEA2593889.CCQF01000026:526-11470	1	0	0	1	0	0	10944	0	0	Phage_integrase,rve
1422701.SAMN02404284	1422701.SAMN02404284.KK238648:68110-76883	1	0	0	1	0	0	8773	0	0	Phage_integrase,TnpA
