specI	genomeID	kingdom	phylum	class	order	family	genus	species	assembly_status	Marker_lineage	checkM_completness	checkM_contamination
specI_v3_Cluster585	1001590.SAMN00255269	Bacteria	Spirochaetes	Spirochaetia	Leptospirales	Leptospiraceae	Leptospira	Leptospira_interrogans	Complete	k__Bacteria_(UID2495)	92.94	0
specI_v3_Cluster585	1001591.SAMN02436629	Bacteria	Spirochaetes	Spirochaetia	Leptospirales	Leptospiraceae	Leptospira	Leptospira_interrogans	Complete	k__Bacteria_(UID2495)	94.71	0
specI_v3_Cluster587	1001592.SAMN02436545	Bacteria	Spirochaetes	Spirochaetia	Leptospirales	Leptospiraceae	Leptospira	Leptospira_santarosai	Complete	k__Bacteria_(UID2495)	96.36	0
specI_v3_Cluster590	1001593.SAMN02436466	Bacteria	Spirochaetes	Spirochaetia	Leptospirales	Leptospiraceae	Leptospira	Leptospira_noguchii	Complete	k__Bacteria_(UID2495)	98.82	0.11
specI_v3_Cluster589	1001595.SAMN02436411	Bacteria	Spirochaetes	Spirochaetia	Leptospirales	Leptospiraceae	Leptospira	Leptospira_noguchii	Complete	k__Bacteria_(UID2495)	95.29	1.28
specI_v3_Cluster585	1001596.SAMN02436336	Bacteria	Spirochaetes	Spirochaetia	Leptospirales	Leptospiraceae	Leptospira	Leptospira_interrogans	Complete	k__Bacteria_(UID2495)	94.71	0
specI_v3_Cluster585	1001597.SAMN00255265	Bacteria	Spirochaetes	Spirochaetia	Leptospirales	Leptospiraceae	Leptospira	Leptospira_interrogans	Complete	k__Bacteria_(UID2495)	94.71	0
specI_v3_Cluster585	1001601.SAMN00255261	Bacteria	Spirochaetes	Spirochaetia	Leptospirales	Leptospiraceae	Leptospira	Leptospira_interrogans	Complete	k__Bacteria_(UID2495)	93.53	0
specI_v3_Cluster353	1001704.SAMN02435974	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacteroides	Mycobacteroides_abscessus	Complete	g__Mycobacterium_(UID1816)	99.94	0
specI_v3_Cluster353	1001705.SAMN00672647	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacteroides	Mycobacteroides_abscessus	Complete	g__Mycobacterium_(UID1816)	99.94	0
specI_v3_Cluster353	1001706.SAMN00714442	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacteroides	Mycobacteroides_abscessus	Complete	g__Mycobacterium_(UID1816)	99.94	0
specI_v3_Cluster353	1001707.SAMN00672618	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacteroides	Mycobacteroides_abscessus	Complete	g__Mycobacterium_(UID1816)	99.94	0
specI_v3_Cluster353	1001708.SAMN00672642	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacteroides	Mycobacteroides_abscessus	Complete	g__Mycobacterium_(UID1816)	99.94	0
specI_v3_Cluster353	1001709.SAMN00672644	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacteroides	Mycobacteroides_abscessus	Complete	g__Mycobacterium_(UID1816)	99.94	0
specI_v3_Cluster353	1001710.SAMN00714551	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacteroides	Mycobacteroides_abscessus	Complete	g__Mycobacterium_(UID1816)	99.94	0
specI_v3_Cluster353	1001711.SAMN00672643	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacteroides	Mycobacteroides_abscessus	Complete	g__Mycobacterium_(UID1816)	99.94	0
specI_v3_Cluster353	1001712.SAMN00715106	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacteroides	Mycobacteroides_abscessus	Complete	g__Mycobacterium_(UID1816)	99.78	0
specI_v3_Cluster353	1001713.SAMN00672641	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacteroides	Mycobacteroides_abscessus	Complete	g__Mycobacterium_(UID1816)	99.94	0
specI_v3_Cluster353	1001714.SAMD00036666	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacteroides	Mycobacteroides_abscessus	Complete	g__Mycobacterium_(UID1816)	99.94	0.08
specI_v3_Cluster353	1001714.SAMN00672674	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacteroides	Mycobacteroides_abscessus	Complete	g__Mycobacterium_(UID1816)	99.94	5
specI_v3_Cluster353	1001714.SAMN02470910	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacteroides	Mycobacteroides_abscessus	Complete	g__Mycobacterium_(UID1816)	99.94	0.11
specI_v3_Cluster353	1001715.SAMN00715826	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacteroides	Mycobacteroides_abscessus	Complete	g__Mycobacterium_(UID1816)	99.94	0
specI_v3_Cluster353	1001716.SAMN00672648	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacteroides	Mycobacteroides_abscessus	Complete	g__Mycobacterium_(UID1816)	99.94	0
specI_v3_Cluster353	1001717.SAMN00672650	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacteroides	Mycobacteroides_abscessus	Complete	g__Mycobacterium_(UID1816)	99.94	0
specI_v3_Cluster353	1001718.SAMN00672649	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacteroides	Mycobacteroides_abscessus	Complete	g__Mycobacterium_(UID1816)	99.94	0.67
specI_v3_Cluster353	1001719.SAMN00672652	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacteroides	Mycobacteroides_abscessus	Complete	g__Mycobacterium_(UID1816)	99.94	0
specI_v3_Cluster353	1001720.SAMN00728496	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacteroides	Mycobacteroides_abscessus	Complete	g__Mycobacterium_(UID1816)	99.72	0
specI_v3_Cluster353	1001721.SAMN00728494	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacteroides	Mycobacteroides_abscessus	Complete	g__Mycobacterium_(UID1816)	99.94	0
specI_v3_Cluster353	1001722.SAMN00728581	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacteroides	Mycobacteroides_abscessus	Complete	g__Mycobacterium_(UID1816)	99.94	0
specI_v3_Cluster353	1001723.SAMN00728580	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacteroides	Mycobacteroides_abscessus	Complete	g__Mycobacterium_(UID1816)	99.94	0
specI_v3_Cluster353	1001724.SAMN00728579	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacteroides	Mycobacteroides_abscessus	Complete	g__Mycobacterium_(UID1816)	99.94	0
specI_v3_Cluster353	1001725.SAMN00728552	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacteroides	Mycobacteroides_abscessus	Complete	g__Mycobacterium_(UID1816)	99.94	0
specI_v3_Cluster353	1001726.SAMN00728582	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacteroides	Mycobacteroides_abscessus	Complete	g__Mycobacterium_(UID1816)	99.94	0
specI_v3_Cluster353	1001727.SAMN00728583	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacteroides	Mycobacteroides_abscessus	Complete	g__Mycobacterium_(UID1816)	99.94	0
specI_v3_Cluster353	1001728.SAMN00728601	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacteroides	Mycobacteroides_abscessus	Complete	g__Mycobacterium_(UID1816)	99.94	0
specI_v3_Cluster353	1001729.SAMN00728602	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacteroides	Mycobacteroides_abscessus	Complete	g__Mycobacterium_(UID1816)	99.94	0
specI_v3_Cluster353	1001730.SAMN00728603	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacteroides	Mycobacteroides_abscessus	Complete	g__Mycobacterium_(UID1816)	99.94	0
specI_v3_Cluster353	1001731.SAMN00672653	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacteroides	Mycobacteroides_abscessus	Complete	g__Mycobacterium_(UID1816)	99.94	0
specI_v3_Cluster353	1001732.SAMN00672660	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacteroides	Mycobacteroides_abscessus	Complete	g__Mycobacterium_(UID1816)	99.94	0
specI_v3_Cluster353	1001733.SAMN00672656	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacteroides	Mycobacteroides_abscessus	Complete	g__Mycobacterium_(UID1816)	99.94	0
specI_v3_Cluster353	1001734.SAMN00672658	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacteroides	Mycobacteroides_abscessus	Complete	g__Mycobacterium_(UID1816)	98.61	0
specI_v3_Cluster353	1001735.SAMN00672654	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacteroides	Mycobacteroides_abscessus	Complete	g__Mycobacterium_(UID1816)	99.94	0
specI_v3_Cluster353	1001736.SAMN00672661	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacteroides	Mycobacteroides_abscessus	Complete	g__Mycobacterium_(UID1816)	99.94	0
specI_v3_Cluster353	1001737.SAMN00717269	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacteroides	Mycobacteroides_abscessus	Complete	g__Mycobacterium_(UID1816)	99.94	0
specI_v3_Cluster353	1001738.SAMN00672662	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacteroides	Mycobacteroides_abscessus	Complete	g__Mycobacterium_(UID1816)	99.94	0
specI_v3_Cluster353	1001739.SAMN00672657	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacteroides	Mycobacteroides_abscessus	Complete	g__Mycobacterium_(UID1816)	99.94	0
specI_v3_Cluster353	1001740.SAMN00672655	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacteroides	Mycobacteroides_abscessus	Complete	g__Mycobacterium_(UID1816)	99.94	0
specI_v3_Cluster353	1001741.SAMN00672659	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacteroides	Mycobacteroides_abscessus	Complete	g__Mycobacterium_(UID1816)	99.94	0
specI_v3_Cluster282	1001746.SAMN02472137	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus_pneumoniae	Complete	g__Streptococcus_(UID576)	99.02	0.4
specI_v3_Cluster282	1001747.SAMN02472133	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus_pneumoniae	Complete	g__Streptococcus_(UID576)	99.02	0.93
specI_v3_Cluster95	1001988.SAMN04964662	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia_coli	Complete	f__Enterobacteriaceae_(UID5124)	100	0.48
specI_v3_Cluster95	1001989.SAMN02469619	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia_coli	Complete	f__Enterobacteriaceae_(UID5124)	99.97	0.11
specI_v3_Cluster95	1001991.SAMN04964663	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia_coli	Complete	f__Enterobacteriaceae_(UID5124)	99.97	0.27
specI_v3_Cluster591	100225.SAMN05421595	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Dermatophilaceae	Austwickia	Austwickia_chelonae	Complete	o__Actinomycetales_(UID1663)	99.73	1.09
specI_v3_Cluster611	100226.SAMEA1705940	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces_coelicolor	Complete	f__Streptomycetaceae_(UID2048)	100	0
specI_v3_Cluster702	1002340.SAMN02471702	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Leisingera	Leisingera_sp._ANG1	Complete	f__Rhodobacteraceae_(UID3375)	99.82	0
specI_v3_Cluster708	1002364.SAMN02299450	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Hafniaceae	Hafnia	Hafnia_alvei	Complete	f__Enterobacteriaceae_(UID5054)	99.86	0.36
specI_v3_Cluster710	1002365.SAMN02299451	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus_rhamnosus	Complete	g__Lactobacillus_(UID436)	99.46	0
specI_v3_Cluster711	1002366.SAMN02299452	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria_innocua	Complete	c__Bacilli_(UID285)	99.45	0.55
specI_v3_Cluster717	1002367.SAMN02299453	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella_stercorea	Complete	o__Bacteroidales_(UID2716)	98.52	0.37
specI_v3_Cluster81	1002368.SAMN02299454	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Yokenella	Yokenella_regensburgei	Complete	f__Enterobacteriaceae_(UID5103)	100	0.87
specI_v3_Cluster721	1002369.SAMN02299455	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridioides	Clostridioides_difficile	Complete	s__difficile_(UID1168)	99.44	0.55
specI_v3_Cluster724	1002809.SAMD00060988	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Solibacillus	Solibacillus_silvestris	Complete	c__Bacilli_(UID259)	100	0.22
specI_v3_Cluster725	1003110.SAMN03327480	Bacteria	Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae	Verrucosispora	Verrucosispora_maris	Complete	o__Actinomycetales_(UID1696)	100	0.79
specI_v3_Cluster99	1003185.SAMN02415184	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella_enterica	Complete	f__Enterobacteriaceae_(UID5139)	99.77	0.23
specI_v3_Cluster99	1003186.SAMN02415185	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella_enterica	Complete	f__Enterobacteriaceae_(UID5139)	99.71	0.33
specI_v3_Cluster99	1003187.SAMN02415186	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella_enterica	Complete	f__Enterobacteriaceae_(UID5139)	99.96	0.04
specI_v3_Cluster99	1003188.SAMN02415173	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella_enterica	Complete	f__Enterobacteriaceae_(UID5139)	99.81	0.09
specI_v3_Cluster99	1003189.SAMN02415174	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella_enterica	Complete	f__Enterobacteriaceae_(UID5139)	99.67	0.35
specI_v3_Cluster99	1003191.SAMN01813424	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella_enterica	Complete	f__Enterobacteriaceae_(UID5139)	100	0.31
specI_v3_Cluster754	1003195.SAMEA3138404	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces_cattleya	Complete	o__Actinomycetales_(UID1696)	99.47	0
specI_v3_Cluster754	1003195.SAMN02603879	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces_cattleya	Complete	o__Actinomycetales_(UID1696)	99.47	0
specI_v3_Cluster547	1003200.SAMN02471472	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter_insuavis	Complete	o__Burkholderiales_(UID4000)	99.53	0.06
specI_v3_Cluster755	1003201.SAMN02603529	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Rickettsia	Rickettsia_typhi	Complete	g__Rickettsia_(UID3815)	99.86	0.33
specI_v3_Cluster755	1003202.SAMN02603530	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Rickettsia	Rickettsia_typhi	Complete	g__Rickettsia_(UID3815)	99.86	0.33
specI_v3_Cluster757	1003238.SAMN02470555	Bacteria	Chlamydiae	Chlamydiia	Chlamydiales	Chlamydiaceae	Chlamydia	Chlamydia_abortus	Complete	k__Bacteria_(UID2993)	98.98	0
specI_v3_Cluster759	1004149.SAMN02470158	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Mesoflavibacter	Mesoflavibacter_zeaxanthinifaciens	Complete	s__algicola_(UID2846)	98.68	0.66
specI_v3_Cluster763	1004151.SAMN02597464	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Morganellaceae	Photorhabdus	Photorhabdus_khanii	Complete	c__Gammaproteobacteria_(UID4442)	100	0
specI_v3_Cluster766	1004152.SAMN02470252	Bacteria	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	Mycoplasma_flocculare	Complete	g__Mycoplasma_(UID2426)	98.16	0
specI_v3_Cluster95	1004153.SAMN02470896	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia_coli	Complete	f__Enterobacteriaceae_(UID5124)	99.97	0.07
specI_v3_Cluster772	1004279.SAMN05428953	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium	Mesorhizobium_muleiense	Complete	o__Rhizobiales_(UID3450)	99.59	1.98
specI_v3_Cluster789	1004785.SAMN02604118	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Alteromonas	Alteromonas_macleodii	Complete	c__Gammaproteobacteria_(UID4761)	99.95	0.24
specI_v3_Cluster791	1004786.SAMN02604119	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Alteromonas	Alteromonas_mediterranea	Complete	c__Gammaproteobacteria_(UID4761)	99.95	1.51
specI_v3_Cluster789	1004787.SAMN02604120	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Alteromonas	Alteromonas_macleodii	Complete	c__Gammaproteobacteria_(UID4761)	98.61	0.17
specI_v3_Cluster789	1004788.SAMN02604121	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Alteromonas	Alteromonas_macleodii	Complete	c__Gammaproteobacteria_(UID4761)	99.84	0.24
specI_v3_Cluster794	1004836.SAMN02471213	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Gluconacetobacter	Gluconacetobacter_sp._SXCC-1	Complete	o__Rhodospirillales_(UID3754)	99.63	0.37
specI_v3_Cluster796	1004951.SAMN02603323	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus_suis	Complete	o__Lactobacillales_(UID544)	99.25	0
specI_v3_Cluster796	1004952.SAMN02603322	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus_suis	Complete	o__Lactobacillales_(UID544)	100	0.25
specI_v3_Cluster340	1004953.SAMN03196741	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_aureus	Complete	g__Staphylococcus_(UID301)	97.85	0.08
specI_v3_Cluster797	1004954.SAMN02470031	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Brucellaceae	Brucella	Brucella_suis	Complete	g__Brucella_(UID3486)	98.96	0.8
specI_v3_Cluster797	1004954.SAMN03068300	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Brucellaceae	Brucella	Brucella_suis	Complete	g__Brucella_(UID3486)	99.5	0.8
specI_v3_Cluster797	1004955.SAMN02470029	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Brucellaceae	Brucella	Brucella_melitensis	Complete	g__Brucella_(UID3505)	99.37	0.76
specI_v3_Cluster797	1004956.SAMN02470028	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Brucellaceae	Brucella	Brucella_melitensis	Complete	g__Brucella_(UID3505)	98.76	0.78
specI_v3_Cluster797	1004957.SAMN02470035	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Brucellaceae	Brucella	Brucella_melitensis	Complete	g__Brucella_(UID3505)	99.38	0.76
specI_v3_Cluster796	1005041.SAMN02603320	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus_suis	Complete	o__Lactobacillales_(UID544)	100	0
specI_v3_Cluster796	1005042.SAMN02603321	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus_suis	Complete	o__Lactobacillales_(UID544)	99.25	0.44
specI_v3_Cluster413	1005048.SAMN02603677	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Collimonas	Collimonas_fungivorans	Complete	o__Burkholderiales_(UID4002)	99.2	0.52
